Duplicate/Unique,SLC,Drug Name,CID,Fold Change,molWeight,molVolume,molLogP,molLogS,molPSA,molArea,PSA/Area,nof_Atoms,nof_Chirals,nof_HBA,nof_HBD,molCharge_total,nof_Rings,Complexity,nof_posCharge,nof_negCharge,a_heavy,C_R2,C_R1,C_R0,C_sp3,posCharge/Volume,negCharge/Volume,nof_RotB,nof_Fragments,nof_PO4,nof_SO3H,nof_SH,nof_NH2,nof_COOH,nof_OH,nof_acetyl
Duplicate,Both,Ceftibuten,5282242,<2-fold (Control),410.035,395.049,0.00933412,-3.80231,128.49,368.775,0.348423836,41,2,12,5,-3,3,755,0,-3,27,1,5,6,4,0.007782707,0.038913534,7,41,0,0,0,1,2,0,0
Duplicate,Both,Tolmetin,5509,<2-fold (Control),257.105,262.08,1.93405,-3.08778,43.8562,291.297,0.150554932,34,0,5,1,-1,2,347,0,-1,19,0,0,5,3,0,0,4,34,0,0,0,0,1,0,0
Duplicate,Both,YM90K,5486547,<2-fold (Control),309.026,245.442,0.258443,-3.18736,95.5782,248.263,0.384987695,29,0,9,3,-1,3,451,0,-1,21,0,2,0,0,0,0.020925274,2,29,0,0,0,0,0,0,0
Duplicate,Both,Acetazolamide,1986,<2-fold (Control),221.988,165.27,-0.534985,-1.46119,97.4232,189.117,0.515147766,19,0,9,3,-1,1,297,0,-1,13,0,0,2,1,0,0,3,19,0,0,0,1,0,0,1
Duplicate,Both,Diclofenac,3033,<2-fold (Control),295.017,242.026,4.05852,-3.88749,35.4412,285.433,0.124166442,30,0,3,2,-1,2,304,0,-1,19,0,0,2,1,0,0,4,30,0,0,0,0,1,0,0
Duplicate,Both,Ketoprofen,3825,<2-fold (Control),254.094,245.351,2.87887,-3.47965,42.1136,280.635,0.150065387,33,1,5,1,-1,2,331,0,-1,19,0,0,4,2,0,0,4,33,0,0,0,0,1,0,0
Duplicate,Both,Probenecid,4911,<2-fold (Control),285.103,269.489,3.14123,-4.044,60.2503,321.151,0.187607387,38,0,8,1,-1,1,374,0,-1,19,0,0,7,6,0,0,7,38,0,0,0,0,1,0,0
Duplicate,Both,Nicotine,89594,<2-fold (Control),162.116,172.131,0.991394,-0.617231,13.4296,206.794,0.064941923,26,1,2,0,1,2,147,1,0,12,0,4,1,5,0,0.297849526,1,26,0,0,0,0,0,0,0
Duplicate,Both,Cephaloridine,5773,<2-fold (Control),415.066,410.038,1.17623,-3.24928,73.3152,400.838,0.182904814,45,2,9,1,0,4,687,1,-1,28,1,5,4,5,0.013639736,0.068198682,7,45,0,0,0,0,1,0,0
Duplicate,Both,Didanosine,50599,<2-fold (Control),236.091,219.768,-0.822672,-2.03692,72.8119,238.946,0.30472115,29,2,6,2,-1,3,348,0,-1,17,0,6,1,5,0,0.082404113,2,29,0,0,0,0,0,1,0
Duplicate,Both,Acetaminophen,1983,<2-fold (Control),151.063,147.404,1.13623,-1.47289,41.1174,175.227,0.234652194,20,0,3,2,0,1,139,0,0,11,0,0,2,1,0,0,2,20,0,0,0,0,0,0,1
Duplicate,Both,Cefadroxil,47965,<2-fold (Control),363.089,371.307,-1.22836,-3.21997,108.303,354.433,0.30556692,42,3,10,5,-1,3,629,0,-1,25,1,5,4,5,0.009233355,0.046166773,5,42,0,0,0,1,1,0,0
