,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4,Feature  5
4,0.6095238095238096,0.7047619047619047,molWeight,molVolume,molLogP,molLogS,nof_Chirals
11,0.7095238095238096,0.7095238095238094,molWeight,molVolume,molLogP,molLogS,nof_negCharge
29,0.7333333333333333,0.7619047619047619,molWeight,molVolume,molLogP,molPSA,PSA/Area
31,0.6476190476190475,0.7619047619047619,molWeight,molVolume,molLogP,molPSA,nof_Chirals
32,0.6714285714285714,0.7619047619047619,molWeight,molVolume,molLogP,molPSA,nof_HBA
35,0.7333333333333333,0.7047619047619047,molWeight,molVolume,molLogP,molPSA,nof_Rings
41,0.7,0.7952380952380953,molWeight,molVolume,molLogP,molPSA,C_R1
46,0.7333333333333333,0.7047619047619047,molWeight,molVolume,molLogP,molPSA,nof_RotB
47,0.6809523809523811,0.7380952380952381,molWeight,molVolume,molLogP,molPSA,nof_Fragments
49,0.6523809523809524,0.7095238095238096,molWeight,molVolume,molLogP,molPSA,nof_SO3H
55,0.7,0.7380952380952379,molWeight,molVolume,molLogP,molArea,PSA/Area
58,0.7428571428571429,0.7285714285714285,molWeight,molVolume,molLogP,molArea,nof_HBA
59,0.7952380952380953,0.7333333333333333,molWeight,molVolume,molLogP,molArea,nof_HBD
60,0.7380952380952381,0.7428571428571429,molWeight,molVolume,molLogP,molArea,molCharge_total
61,0.7952380952380953,0.7285714285714284,molWeight,molVolume,molLogP,molArea,nof_Rings
62,0.7714285714285715,0.7333333333333333,molWeight,molVolume,molLogP,molArea,Complexity
63,0.7714285714285715,0.7619047619047619,molWeight,molVolume,molLogP,molArea,nof_posCharge
64,0.7238095238095239,0.7857142857142857,molWeight,molVolume,molLogP,molArea,nof_negCharge
65,0.8523809523809524,0.7047619047619047,molWeight,molVolume,molLogP,molArea,a_heavy
67,0.6714285714285715,0.7095238095238094,molWeight,molVolume,molLogP,molArea,C_R1
69,0.7619047619047619,0.7666666666666667,molWeight,molVolume,molLogP,molArea,C_sp3
72,0.7333333333333333,0.7047619047619047,molWeight,molVolume,molLogP,molArea,nof_RotB
75,0.7619047619047621,0.8,molWeight,molVolume,molLogP,molArea,nof_SO3H
81,0.7,0.7333333333333333,molWeight,molVolume,molLogP,PSA/Area,nof_Atoms
82,0.7380952380952379,0.7428571428571429,molWeight,molVolume,molLogP,PSA/Area,nof_Chirals
83,0.6714285714285714,0.7380952380952381,molWeight,molVolume,molLogP,PSA/Area,nof_HBA
87,0.7714285714285714,0.7142857142857142,molWeight,molVolume,molLogP,PSA/Area,Complexity
88,0.7380952380952381,0.7095238095238094,molWeight,molVolume,molLogP,PSA/Area,nof_posCharge
89,0.7095238095238094,0.7619047619047621,molWeight,molVolume,molLogP,PSA/Area,nof_negCharge
93,0.6761904761904762,0.7952380952380953,molWeight,molVolume,molLogP,PSA/Area,C_R0
95,0.7333333333333333,0.7619047619047619,molWeight,molVolume,molLogP,PSA/Area,posCharge/Volume
96,0.7619047619047619,0.7952380952380953,molWeight,molVolume,molLogP,PSA/Area,negCharge/Volume
97,0.7714285714285715,0.7666666666666667,molWeight,molVolume,molLogP,PSA/Area,nof_RotB
100,0.7047619047619047,0.7047619047619047,molWeight,molVolume,molLogP,PSA/Area,nof_SO3H
102,0.7333333333333333,0.7095238095238096,molWeight,molVolume,molLogP,PSA/Area,nof_NH2
104,0.7333333333333333,0.7095238095238094,molWeight,molVolume,molLogP,PSA/Area,nof_OH
105,0.6761904761904762,0.7142857142857142,molWeight,molVolume,molLogP,PSA/Area,nof_acetyl
106,0.7714285714285715,0.7380952380952379,molWeight,molVolume,molLogP,nof_Atoms,nof_Chirals
107,0.7380952380952381,0.8285714285714285,molWeight,molVolume,molLogP,nof_Atoms,nof_HBA
111,0.7333333333333333,0.7047619047619047,molWeight,molVolume,molLogP,nof_Atoms,Complexity
115,0.7333333333333333,0.7047619047619047,molWeight,molVolume,molLogP,nof_Atoms,C_R2
118,0.6714285714285714,0.7571428571428571,molWeight,molVolume,molLogP,nof_Atoms,C_sp3
123,0.7428571428571429,0.7666666666666667,molWeight,molVolume,molLogP,nof_Atoms,nof_PO4
124,0.7285714285714285,0.7095238095238096,molWeight,molVolume,molLogP,nof_Atoms,nof_SO3H
131,0.7619047619047619,0.7523809523809525,molWeight,molVolume,molLogP,nof_Chirals,nof_HBD
134,0.8571428571428571,0.7333333333333333,molWeight,molVolume,molLogP,nof_Chirals,Complexity
135,0.7619047619047619,0.7333333333333333,molWeight,molVolume,molLogP,nof_Chirals,nof_posCharge
137,0.7047619047619047,0.7285714285714286,molWeight,molVolume,molLogP,nof_Chirals,a_heavy
138,0.7428571428571428,0.7047619047619047,molWeight,molVolume,molLogP,nof_Chirals,C_R2
143,0.7904761904761904,0.7142857142857143,molWeight,molVolume,molLogP,nof_Chirals,negCharge/Volume
145,0.6476190476190475,0.7333333333333333,molWeight,molVolume,molLogP,nof_Chirals,nof_Fragments
146,0.6809523809523811,0.7142857142857142,molWeight,molVolume,molLogP,nof_Chirals,nof_PO4
150,0.8238095238095238,0.7047619047619047,molWeight,molVolume,molLogP,nof_Chirals,nof_COOH
152,0.7571428571428571,0.7095238095238094,molWeight,molVolume,molLogP,nof_Chirals,nof_acetyl
153,0.7142857142857142,0.7047619047619047,molWeight,molVolume,molLogP,nof_HBA,nof_HBD
156,0.7857142857142858,0.8285714285714285,molWeight,molVolume,molLogP,nof_HBA,Complexity
158,0.7666666666666667,0.7380952380952381,molWeight,molVolume,molLogP,nof_HBA,nof_negCharge
161,0.7095238095238096,0.7619047619047619,molWeight,molVolume,molLogP,nof_HBA,C_R1
164,0.7666666666666667,0.7380952380952379,molWeight,molVolume,molLogP,nof_HBA,posCharge/Volume
169,0.7952380952380953,0.7047619047619047,molWeight,molVolume,molLogP,nof_HBA,nof_SO3H
170,0.7380952380952381,0.7047619047619047,molWeight,molVolume,molLogP,nof_HBA,nof_SH
171,0.7952380952380953,0.7047619047619047,molWeight,molVolume,molLogP,nof_HBA,nof_NH2
172,0.7666666666666667,0.7047619047619047,molWeight,molVolume,molLogP,nof_HBA,nof_COOH
174,0.7666666666666667,0.7047619047619047,molWeight,molVolume,molLogP,nof_HBA,nof_acetyl
177,0.7619047619047619,0.7142857142857142,molWeight,molVolume,molLogP,nof_HBD,Complexity
178,0.6428571428571428,0.7285714285714285,molWeight,molVolume,molLogP,nof_HBD,nof_posCharge
185,0.7380952380952381,0.7285714285714285,molWeight,molVolume,molLogP,nof_HBD,posCharge/Volume
188,0.7666666666666667,0.7047619047619047,molWeight,molVolume,molLogP,nof_HBD,nof_Fragments
191,0.7904761904761904,0.7095238095238096,molWeight,molVolume,molLogP,nof_HBD,nof_SH
195,0.7619047619047619,0.7238095238095238,molWeight,molVolume,molLogP,nof_HBD,nof_acetyl
205,0.7904761904761906,0.7333333333333333,molWeight,molVolume,molLogP,molCharge_total,posCharge/Volume
206,0.7619047619047619,0.7333333333333333,molWeight,molVolume,molLogP,molCharge_total,negCharge/Volume
212,0.7380952380952381,0.7285714285714284,molWeight,molVolume,molLogP,molCharge_total,nof_NH2
214,0.8238095238095238,0.7571428571428571,molWeight,molVolume,molLogP,molCharge_total,nof_OH
216,0.8285714285714285,0.7428571428571429,molWeight,molVolume,molLogP,nof_Rings,Complexity
219,0.7666666666666667,0.7333333333333333,molWeight,molVolume,molLogP,nof_Rings,a_heavy
222,0.7333333333333333,0.7047619047619047,molWeight,molVolume,molLogP,nof_Rings,C_R0
224,0.7714285714285714,0.7095238095238096,molWeight,molVolume,molLogP,nof_Rings,posCharge/Volume
226,0.6761904761904761,0.7380952380952381,molWeight,molVolume,molLogP,nof_Rings,nof_RotB
