,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4,Feature  5
1,0.7047619047619047,0.5904761904761904,molWeight,molVolume,molLogP,molLogS,molArea
5,0.8285714285714285,0.6809523809523811,molWeight,molVolume,molLogP,molLogS,nof_HBA
9,0.8238095238095239,0.6523809523809525,molWeight,molVolume,molLogP,molLogS,Complexity
11,0.7095238095238096,0.7095238095238094,molWeight,molVolume,molLogP,molLogS,nof_negCharge
17,0.7333333333333333,0.5809523809523809,molWeight,molVolume,molLogP,molLogS,posCharge/Volume
18,0.7666666666666667,0.6809523809523811,molWeight,molVolume,molLogP,molLogS,negCharge/Volume
19,0.7666666666666667,0.6238095238095238,molWeight,molVolume,molLogP,molLogS,nof_RotB
20,0.7333333333333333,0.6476190476190475,molWeight,molVolume,molLogP,molLogS,nof_Fragments
25,0.7047619047619047,0.6428571428571429,molWeight,molVolume,molLogP,molLogS,nof_COOH
28,0.7095238095238096,0.6190476190476191,molWeight,molVolume,molLogP,molPSA,molArea
29,0.7333333333333333,0.7619047619047619,molWeight,molVolume,molLogP,molPSA,PSA/Area
34,0.7095238095238096,0.6428571428571429,molWeight,molVolume,molLogP,molPSA,molCharge_total
35,0.7333333333333333,0.7047619047619047,molWeight,molVolume,molLogP,molPSA,nof_Rings
36,0.8523809523809524,0.6761904761904761,molWeight,molVolume,molLogP,molPSA,Complexity
37,0.7619047619047619,0.6476190476190475,molWeight,molVolume,molLogP,molPSA,nof_posCharge
38,0.7142857142857142,0.5857142857142857,molWeight,molVolume,molLogP,molPSA,nof_negCharge
39,0.7904761904761904,0.5523809523809524,molWeight,molVolume,molLogP,molPSA,a_heavy
40,0.7095238095238096,0.6142857142857142,molWeight,molVolume,molLogP,molPSA,C_R2
42,0.7095238095238096,0.6857142857142857,molWeight,molVolume,molLogP,molPSA,C_R0
43,0.7285714285714285,0.5857142857142856,molWeight,molVolume,molLogP,molPSA,C_sp3
45,0.7333333333333333,0.6380952380952382,molWeight,molVolume,molLogP,molPSA,negCharge/Volume
46,0.7333333333333333,0.7047619047619047,molWeight,molVolume,molLogP,molPSA,nof_RotB
50,0.7285714285714286,0.6238095238095238,molWeight,molVolume,molLogP,molPSA,nof_SH
54,0.7380952380952381,0.5809523809523809,molWeight,molVolume,molLogP,molPSA,nof_acetyl
56,0.7619047619047619,0.6142857142857142,molWeight,molVolume,molLogP,molArea,nof_Atoms
58,0.7428571428571429,0.7285714285714285,molWeight,molVolume,molLogP,molArea,nof_HBA
59,0.7952380952380953,0.7333333333333333,molWeight,molVolume,molLogP,molArea,nof_HBD
60,0.7380952380952381,0.7428571428571429,molWeight,molVolume,molLogP,molArea,molCharge_total
61,0.7952380952380953,0.7285714285714284,molWeight,molVolume,molLogP,molArea,nof_Rings
62,0.7714285714285715,0.7333333333333333,molWeight,molVolume,molLogP,molArea,Complexity
63,0.7714285714285715,0.7619047619047619,molWeight,molVolume,molLogP,molArea,nof_posCharge
64,0.7238095238095239,0.7857142857142857,molWeight,molVolume,molLogP,molArea,nof_negCharge
65,0.8523809523809524,0.7047619047619047,molWeight,molVolume,molLogP,molArea,a_heavy
66,0.7666666666666667,0.6285714285714286,molWeight,molVolume,molLogP,molArea,C_R2
69,0.7619047619047619,0.7666666666666667,molWeight,molVolume,molLogP,molArea,C_sp3
70,0.7523809523809525,0.6714285714285714,molWeight,molVolume,molLogP,molArea,posCharge/Volume
71,0.7952380952380953,0.6285714285714286,molWeight,molVolume,molLogP,molArea,negCharge/Volume
72,0.7333333333333333,0.7047619047619047,molWeight,molVolume,molLogP,molArea,nof_RotB
73,0.7380952380952381,0.6523809523809524,molWeight,molVolume,molLogP,molArea,nof_Fragments
74,0.7619047619047619,0.7,molWeight,molVolume,molLogP,molArea,nof_PO4
75,0.7619047619047621,0.8,molWeight,molVolume,molLogP,molArea,nof_SO3H
76,0.8238095238095238,0.6857142857142857,molWeight,molVolume,molLogP,molArea,nof_SH
77,0.7428571428571429,0.6047619047619046,molWeight,molVolume,molLogP,molArea,nof_NH2
78,0.7142857142857142,0.6714285714285714,molWeight,molVolume,molLogP,molArea,nof_COOH
79,0.7619047619047619,0.6714285714285715,molWeight,molVolume,molLogP,molArea,nof_OH
80,0.7380952380952379,0.7,molWeight,molVolume,molLogP,molArea,nof_acetyl
82,0.7380952380952379,0.7428571428571429,molWeight,molVolume,molLogP,PSA/Area,nof_Chirals
84,0.7047619047619047,0.7,molWeight,molVolume,molLogP,PSA/Area,nof_HBD
85,0.7142857142857142,0.5904761904761904,molWeight,molVolume,molLogP,PSA/Area,molCharge_total
86,0.7380952380952379,0.6952380952380952,molWeight,molVolume,molLogP,PSA/Area,nof_Rings
87,0.7714285714285714,0.7142857142857142,molWeight,molVolume,molLogP,PSA/Area,Complexity
88,0.7380952380952381,0.7095238095238094,molWeight,molVolume,molLogP,PSA/Area,nof_posCharge
89,0.7095238095238094,0.7619047619047621,molWeight,molVolume,molLogP,PSA/Area,nof_negCharge
90,0.7952380952380953,0.6380952380952379,molWeight,molVolume,molLogP,PSA/Area,a_heavy
91,0.7047619047619047,0.6476190476190476,molWeight,molVolume,molLogP,PSA/Area,C_R2
92,0.7047619047619047,0.6952380952380952,molWeight,molVolume,molLogP,PSA/Area,C_R1
95,0.7333333333333333,0.7619047619047619,molWeight,molVolume,molLogP,PSA/Area,posCharge/Volume
96,0.7619047619047619,0.7952380952380953,molWeight,molVolume,molLogP,PSA/Area,negCharge/Volume
97,0.7714285714285715,0.7666666666666667,molWeight,molVolume,molLogP,PSA/Area,nof_RotB
98,0.7666666666666667,0.6809523809523811,molWeight,molVolume,molLogP,PSA/Area,nof_Fragments
99,0.7047619047619047,0.6428571428571429,molWeight,molVolume,molLogP,PSA/Area,nof_PO4
100,0.7047619047619047,0.7047619047619047,molWeight,molVolume,molLogP,PSA/Area,nof_SO3H
102,0.7333333333333333,0.7095238095238096,molWeight,molVolume,molLogP,PSA/Area,nof_NH2
104,0.7333333333333333,0.7095238095238094,molWeight,molVolume,molLogP,PSA/Area,nof_OH
106,0.7714285714285715,0.7380952380952379,molWeight,molVolume,molLogP,nof_Atoms,nof_Chirals
107,0.7380952380952381,0.8285714285714285,molWeight,molVolume,molLogP,nof_Atoms,nof_HBA
108,0.7095238095238094,0.6952380952380952,molWeight,molVolume,molLogP,nof_Atoms,nof_HBD
109,0.7333333333333333,0.6476190476190475,molWeight,molVolume,molLogP,nof_Atoms,molCharge_total
110,0.7619047619047619,0.6809523809523811,molWeight,molVolume,molLogP,nof_Atoms,nof_Rings
111,0.7333333333333333,0.7047619047619047,molWeight,molVolume,molLogP,nof_Atoms,Complexity
112,0.7333333333333333,0.6190476190476191,molWeight,molVolume,molLogP,nof_Atoms,nof_posCharge
113,0.7619047619047621,0.7,molWeight,molVolume,molLogP,nof_Atoms,nof_negCharge
114,0.7952380952380953,0.6190476190476191,molWeight,molVolume,molLogP,nof_Atoms,a_heavy
115,0.7333333333333333,0.7047619047619047,molWeight,molVolume,molLogP,nof_Atoms,C_R2
117,0.7714285714285715,0.5571428571428572,molWeight,molVolume,molLogP,nof_Atoms,C_R0
119,0.7095238095238096,0.6666666666666667,molWeight,molVolume,molLogP,nof_Atoms,posCharge/Volume
120,0.7619047619047621,0.6190476190476191,molWeight,molVolume,molLogP,nof_Atoms,negCharge/Volume
121,0.7095238095238096,0.6095238095238096,molWeight,molVolume,molLogP,nof_Atoms,nof_RotB
123,0.7428571428571429,0.7666666666666667,molWeight,molVolume,molLogP,nof_Atoms,nof_PO4
124,0.7285714285714285,0.7095238095238096,molWeight,molVolume,molLogP,nof_Atoms,nof_SO3H
125,0.7142857142857142,0.6476190476190476,molWeight,molVolume,molLogP,nof_Atoms,nof_SH
126,0.7333333333333333,0.6476190476190475,molWeight,molVolume,molLogP,nof_Atoms,nof_NH2
127,0.7380952380952381,0.6238095238095238,molWeight,molVolume,molLogP,nof_Atoms,nof_COOH
128,0.7333333333333333,0.5857142857142856,molWeight,molVolume,molLogP,nof_Atoms,nof_OH
129,0.7095238095238094,0.6761904761904762,molWeight,molVolume,molLogP,nof_Atoms,nof_acetyl
130,0.7285714285714285,0.6190476190476191,molWeight,molVolume,molLogP,nof_Chirals,nof_HBA
131,0.7619047619047619,0.7523809523809525,molWeight,molVolume,molLogP,nof_Chirals,nof_HBD
132,0.7619047619047619,0.6238095238095238,molWeight,molVolume,molLogP,nof_Chirals,molCharge_total
133,0.7571428571428572,0.6809523809523811,molWeight,molVolume,molLogP,nof_Chirals,nof_Rings
134,0.8571428571428571,0.7333333333333333,molWeight,molVolume,molLogP,nof_Chirals,Complexity
135,0.7619047619047619,0.7333333333333333,molWeight,molVolume,molLogP,nof_Chirals,nof_posCharge
137,0.7047619047619047,0.7285714285714286,molWeight,molVolume,molLogP,nof_Chirals,a_heavy
138,0.7428571428571428,0.7047619047619047,molWeight,molVolume,molLogP,nof_Chirals,C_R2
139,0.7619047619047619,0.6238095238095238,molWeight,molVolume,molLogP,nof_Chirals,C_R1
140,0.7095238095238096,0.7,molWeight,molVolume,molLogP,nof_Chirals,C_R0
141,0.7666666666666667,0.6095238095238095,molWeight,molVolume,molLogP,nof_Chirals,C_sp3
142,0.7666666666666667,0.5857142857142857,molWeight,molVolume,molLogP,nof_Chirals,posCharge/Volume
143,0.7904761904761904,0.7142857142857143,molWeight,molVolume,molLogP,nof_Chirals,negCharge/Volume
144,0.7666666666666667,0.6095238095238096,molWeight,molVolume,molLogP,nof_Chirals,nof_RotB
148,0.7619047619047621,0.6523809523809524,molWeight,molVolume,molLogP,nof_Chirals,nof_SH
149,0.7714285714285714,0.6238095238095238,molWeight,molVolume,molLogP,nof_Chirals,nof_NH2
150,0.8238095238095238,0.7047619047619047,molWeight,molVolume,molLogP,nof_Chirals,nof_COOH
152,0.7571428571428571,0.7095238095238094,molWeight,molVolume,molLogP,nof_Chirals,nof_acetyl
153,0.7142857142857142,0.7047619047619047,molWeight,molVolume,molLogP,nof_HBA,nof_HBD
154,0.8285714285714285,0.5857142857142856,molWeight,molVolume,molLogP,nof_HBA,molCharge_total
155,0.7428571428571428,0.5904761904761904,molWeight,molVolume,molLogP,nof_HBA,nof_Rings
