,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
1,0.8,0.6761904761904762,molWeight,molVolume,molLogP,molPSA
2,0.8190476190476191,0.7,molWeight,molVolume,molLogP,molArea
3,0.7095238095238096,0.6761904761904762,molWeight,molVolume,molLogP,PSA/Area
5,0.7380952380952381,0.6761904761904762,molWeight,molVolume,molLogP,nof_Chirals
10,0.7619047619047618,0.7666666666666667,molWeight,molVolume,molLogP,Complexity
11,0.7047619047619047,0.6761904761904762,molWeight,molVolume,molLogP,nof_posCharge
12,0.7619047619047619,0.6761904761904761,molWeight,molVolume,molLogP,nof_negCharge
18,0.7380952380952381,0.6238095238095238,molWeight,molVolume,molLogP,posCharge/Volume
19,0.7095238095238096,0.7095238095238094,molWeight,molVolume,molLogP,negCharge/Volume
20,0.7380952380952381,0.5380952380952382,molWeight,molVolume,molLogP,nof_RotB
21,0.7666666666666667,0.6761904761904762,molWeight,molVolume,molLogP,nof_Fragments
22,0.7666666666666667,0.6190476190476191,molWeight,molVolume,molLogP,nof_PO4
23,0.7714285714285715,0.6428571428571429,molWeight,molVolume,molLogP,nof_SO3H
24,0.7666666666666667,0.5619047619047619,molWeight,molVolume,molLogP,nof_SH
26,0.7095238095238096,0.7,molWeight,molVolume,molLogP,nof_COOH
27,0.7047619047619047,0.6761904761904762,molWeight,molVolume,molLogP,nof_OH
28,0.7952380952380953,0.6714285714285715,molWeight,molVolume,molLogP,nof_acetyl
29,0.8523809523809524,0.7714285714285714,molWeight,molVolume,molLogS,molPSA
30,0.7904761904761904,0.6857142857142857,molWeight,molVolume,molLogS,molArea
31,0.7380952380952381,0.7095238095238096,molWeight,molVolume,molLogS,PSA/Area
32,0.7333333333333333,0.6190476190476191,molWeight,molVolume,molLogS,nof_Atoms
34,0.7904761904761904,0.6809523809523811,molWeight,molVolume,molLogS,nof_HBA
36,0.7142857142857142,0.6142857142857142,molWeight,molVolume,molLogS,molCharge_total
37,0.7666666666666667,0.5904761904761904,molWeight,molVolume,molLogS,nof_Rings
39,0.7428571428571428,0.6666666666666667,molWeight,molVolume,molLogS,nof_posCharge
43,0.7619047619047619,0.5857142857142856,molWeight,molVolume,molLogS,C_R1
44,0.7333333333333333,0.6476190476190476,molWeight,molVolume,molLogS,C_R0
45,0.7666666666666667,0.6190476190476191,molWeight,molVolume,molLogS,C_sp3
46,0.7619047619047619,0.5285714285714286,molWeight,molVolume,molLogS,posCharge/Volume
47,0.7666666666666667,0.6761904761904761,molWeight,molVolume,molLogS,negCharge/Volume
48,0.7619047619047621,0.5857142857142856,molWeight,molVolume,molLogS,nof_RotB
50,0.7380952380952379,0.5476190476190476,molWeight,molVolume,molLogS,nof_PO4
51,0.7047619047619047,0.5809523809523809,molWeight,molVolume,molLogS,nof_SO3H
52,0.8285714285714285,0.6095238095238096,molWeight,molVolume,molLogS,nof_SH
53,0.7380952380952381,0.6190476190476191,molWeight,molVolume,molLogS,nof_NH2
54,0.7952380952380952,0.6428571428571428,molWeight,molVolume,molLogS,nof_COOH
55,0.7619047619047619,0.6190476190476191,molWeight,molVolume,molLogS,nof_OH
56,0.7333333333333333,0.5571428571428572,molWeight,molVolume,molLogS,nof_acetyl
57,0.7285714285714285,0.7047619047619047,molWeight,molVolume,molPSA,molArea
58,0.7333333333333333,0.6761904761904762,molWeight,molVolume,molPSA,PSA/Area
59,0.7714285714285714,0.7,molWeight,molVolume,molPSA,nof_Atoms
60,0.7904761904761904,0.6761904761904762,molWeight,molVolume,molPSA,nof_Chirals
61,0.7952380952380953,0.6809523809523811,molWeight,molVolume,molPSA,nof_HBA
62,0.7285714285714285,0.6142857142857143,molWeight,molVolume,molPSA,nof_HBD
63,0.8190476190476191,0.5238095238095238,molWeight,molVolume,molPSA,molCharge_total
64,0.7571428571428571,0.6571428571428571,molWeight,molVolume,molPSA,nof_Rings
65,0.7571428571428571,0.7,molWeight,molVolume,molPSA,Complexity
66,0.8238095238095238,0.7333333333333333,molWeight,molVolume,molPSA,nof_posCharge
67,0.7571428571428571,0.6142857142857142,molWeight,molVolume,molPSA,nof_negCharge
68,0.7380952380952381,0.6809523809523811,molWeight,molVolume,molPSA,a_heavy
