,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
127,0.7333333333333333,0.8190476190476189,molWeight,molVolume,PSA/Area,nof_Fragments
141,0.7619047619047619,0.8238095238095238,molWeight,molVolume,nof_Atoms,nof_posCharge
163,0.7619047619047619,0.8238095238095238,molWeight,molVolume,nof_Chirals,Complexity
203,0.7952380952380953,0.8238095238095238,molWeight,molVolume,nof_HBA,nof_acetyl
596,0.7285714285714285,0.8238095238095238,molWeight,molLogP,nof_HBA,C_R1
651,0.7904761904761904,0.8238095238095238,molWeight,molLogP,nof_Rings,Complexity
829,0.7,0.8238095238095238,molWeight,molLogP,nof_SO3H,nof_OH
875,0.7571428571428571,0.8523809523809524,molWeight,molLogS,molArea,Complexity
915,0.7047619047619047,0.8238095238095238,molWeight,molLogS,PSA/Area,nof_NH2
1224,0.7857142857142858,0.8238095238095238,molWeight,molPSA,molArea,molCharge_total
1240,0.7666666666666667,0.8285714285714285,molWeight,molPSA,molArea,nof_SH
1319,0.6714285714285715,0.8190476190476191,molWeight,molPSA,nof_HBA,nof_Rings
1324,0.6238095238095238,0.8238095238095238,molWeight,molPSA,nof_HBA,C_R2
1326,0.6809523809523811,0.8142857142857143,molWeight,molPSA,nof_HBA,C_R0
1337,0.7380952380952379,0.8190476190476191,molWeight,molPSA,nof_HBA,nof_OH
1341,0.8,0.8238095238095238,molWeight,molPSA,nof_HBD,Complexity
1366,0.7666666666666667,0.8238095238095238,molWeight,molPSA,molCharge_total,C_R1
1380,0.7857142857142858,0.8238095238095238,molWeight,molPSA,nof_Rings,Complexity
1381,0.6714285714285715,0.8238095238095238,molWeight,molPSA,nof_Rings,nof_posCharge
1411,0.8761904761904763,0.8190476190476189,molWeight,molPSA,Complexity,nof_SO3H
1415,0.8190476190476191,0.8285714285714285,molWeight,molPSA,Complexity,nof_OH
1450,0.7904761904761904,0.8190476190476189,molWeight,molPSA,a_heavy,C_R2
1519,0.7666666666666667,0.8190476190476189,molWeight,molPSA,posCharge/Volume,nof_SO3H
1528,0.7,0.8285714285714285,molWeight,molPSA,negCharge/Volume,nof_SO3H
1543,0.7619047619047619,0.8190476190476191,molWeight,molPSA,nof_Fragments,nof_SO3H
1576,0.7714285714285714,0.8238095238095238,molWeight,molArea,PSA/Area,Complexity
1586,0.7142857142857142,0.8238095238095239,molWeight,molArea,PSA/Area,nof_RotB
1601,0.7714285714285715,0.8571428571428571,molWeight,molArea,nof_Atoms,nof_posCharge
1613,0.8285714285714285,0.8238095238095239,molWeight,molArea,nof_Atoms,nof_SO3H
1614,0.7666666666666667,0.8190476190476189,molWeight,molArea,nof_Atoms,nof_SH
1623,0.8238095238095238,0.8285714285714285,molWeight,molArea,nof_Chirals,Complexity
1645,0.7666666666666667,0.8238095238095238,molWeight,molArea,nof_HBA,Complexity
1652,0.8285714285714285,0.8238095238095239,molWeight,molArea,nof_HBA,C_sp3
1664,0.7142857142857142,0.8238095238095238,molWeight,molArea,nof_HBD,molCharge_total
1666,0.7904761904761904,0.8190476190476191,molWeight,molArea,nof_HBD,Complexity
1686,0.7952380952380953,0.8571428571428571,molWeight,molArea,molCharge_total,Complexity
1724,0.8523809523809524,0.8285714285714285,molWeight,molArea,Complexity,nof_posCharge
1725,0.8523809523809524,0.8476190476190476,molWeight,molArea,Complexity,nof_negCharge
1727,0.8523809523809524,0.8238095238095239,molWeight,molArea,Complexity,C_R2
1728,0.7952380952380953,0.8571428571428571,molWeight,molArea,Complexity,C_R1
1731,0.7857142857142858,0.880952380952381,molWeight,molArea,Complexity,posCharge/Volume
1735,0.8238095238095238,0.8190476190476191,molWeight,molArea,Complexity,nof_PO4
1736,0.8523809523809524,0.8190476190476191,molWeight,molArea,Complexity,nof_SO3H
1737,0.880952380952381,0.8523809523809524,molWeight,molArea,Complexity,nof_SH
1738,0.8238095238095239,0.880952380952381,molWeight,molArea,Complexity,nof_NH2
1741,0.8238095238095239,0.8476190476190476,molWeight,molArea,Complexity,nof_acetyl
1751,0.8571428571428573,0.8285714285714286,molWeight,molArea,nof_posCharge,nof_Fragments
1755,0.7619047619047621,0.8142857142857143,molWeight,molArea,nof_posCharge,nof_NH2
1901,0.7952380952380953,0.8238095238095238,molWeight,PSA/Area,nof_Atoms,nof_posCharge
1939,0.7619047619047619,0.8476190476190476,molWeight,PSA/Area,nof_Chirals,nof_COOH
1952,0.6761904761904762,0.8142857142857143,molWeight,PSA/Area,nof_HBA,C_sp3
1989,0.7904761904761904,0.8238095238095238,molWeight,PSA/Area,molCharge_total,a_heavy
2007,0.8238095238095239,0.8238095238095238,molWeight,PSA/Area,nof_Rings,nof_negCharge
2013,0.7666666666666666,0.8238095238095238,molWeight,PSA/Area,nof_Rings,posCharge/Volume
2019,0.7666666666666667,0.8523809523809524,molWeight,PSA/Area,nof_Rings,nof_SH
2036,0.7714285714285714,0.8190476190476191,molWeight,PSA/Area,Complexity,nof_SO3H
2038,0.7666666666666667,0.8476190476190476,molWeight,PSA/Area,Complexity,nof_NH2
2088,0.8190476190476191,0.8238095238095238,molWeight,PSA/Area,a_heavy,nof_OH
2119,0.7,0.8571428571428571,molWeight,PSA/Area,C_R0,negCharge/Volume
2177,0.7333333333333333,0.8142857142857143,molWeight,PSA/Area,nof_PO4,nof_COOH
2180,0.8,0.8285714285714285,molWeight,PSA/Area,nof_SO3H,nof_SH
2208,0.6761904761904761,0.8238095238095238,molWeight,nof_Atoms,nof_Chirals,negCharge/Volume
2310,0.6761904761904762,0.8857142857142858,molWeight,nof_Atoms,Complexity,nof_Fragments
2313,0.7333333333333333,0.8571428571428571,molWeight,nof_Atoms,Complexity,nof_SH
2314,0.7,0.8190476190476191,molWeight,nof_Atoms,Complexity,nof_NH2
2430,0.7714285714285714,0.8238095238095238,molWeight,nof_Atoms,negCharge/Volume,nof_SH
2474,0.8571428571428571,0.8238095238095238,molWeight,nof_Chirals,nof_HBA,Complexity
2496,0.6714285714285715,0.8142857142857143,molWeight,nof_Chirals,nof_HBD,nof_posCharge
2515,0.7714285714285714,0.8190476190476189,molWeight,nof_Chirals,molCharge_total,Complexity
2534,0.8523809523809524,0.8238095238095238,molWeight,nof_Chirals,nof_Rings,Complexity
2559,0.7904761904761906,0.8523809523809524,molWeight,nof_Chirals,Complexity,C_sp3
2561,0.6761904761904762,0.8571428571428571,molWeight,nof_Chirals,Complexity,negCharge/Volume
2563,0.7904761904761904,0.8190476190476189,molWeight,nof_Chirals,Complexity,nof_Fragments
2726,0.8285714285714285,0.8285714285714285,molWeight,nof_HBA,nof_HBD,Complexity
2746,0.7714285714285715,0.8285714285714286,molWeight,nof_HBA,molCharge_total,Complexity
2765,0.8238095238095238,0.9142857142857144,molWeight,nof_HBA,nof_Rings,Complexity
2788,0.6714285714285714,0.8523809523809524,molWeight,nof_HBA,Complexity,C_R1
2790,0.7619047619047619,0.8238095238095238,molWeight,nof_HBA,Complexity,C_sp3
2792,0.7142857142857142,0.8523809523809524,molWeight,nof_HBA,Complexity,negCharge/Volume
2795,0.8285714285714285,0.8523809523809524,molWeight,nof_HBA,Complexity,nof_PO4
2798,0.7857142857142857,0.8571428571428571,molWeight,nof_HBA,Complexity,nof_NH2
2799,0.7904761904761904,0.8523809523809524,molWeight,nof_HBA,Complexity,nof_COOH
2827,0.7904761904761906,0.8190476190476189,molWeight,nof_HBA,nof_negCharge,nof_Fragments
2866,0.7142857142857142,0.8190476190476189,molWeight,nof_HBA,C_R1,posCharge/Volume
2935,0.7666666666666667,0.8476190476190476,molWeight,nof_HBA,nof_PO4,nof_SH
2975,0.8,0.8476190476190476,molWeight,nof_HBD,nof_Rings,Complexity
2988,0.7047619047619047,0.8285714285714285,molWeight,nof_HBD,nof_Rings,nof_SO3H
2995,0.8,0.8571428571428571,molWeight,nof_HBD,Complexity,nof_negCharge
3000,0.8238095238095238,0.8571428571428573,molWeight,nof_HBD,Complexity,C_sp3
3002,0.7619047619047619,0.8238095238095238,molWeight,nof_HBD,Complexity,negCharge/Volume
3010,0.7333333333333333,0.8857142857142858,molWeight,nof_HBD,Complexity,nof_OH
3069,0.6333333333333333,0.8238095238095238,molWeight,nof_HBD,C_R2,nof_SH
3123,0.7619047619047621,0.8238095238095238,molWeight,nof_HBD,negCharge/Volume,nof_SO3H
3165,0.8238095238095238,0.8523809523809524,molWeight,molCharge_total,nof_Rings,Complexity
3185,0.8238095238095238,0.8238095238095238,molWeight,molCharge_total,Complexity,nof_negCharge
3187,0.8571428571428571,0.8285714285714286,molWeight,molCharge_total,Complexity,C_R2
3192,0.7095238095238096,0.8285714285714285,molWeight,molCharge_total,Complexity,negCharge/Volume
3197,0.7285714285714286,0.8190476190476191,molWeight,molCharge_total,Complexity,nof_SH
3199,0.7999999999999999,0.8523809523809524,molWeight,molCharge_total,Complexity,nof_COOH
3272,0.7428571428571428,0.8238095238095238,molWeight,molCharge_total,C_R1,nof_SH
3356,0.8571428571428573,0.8238095238095239,molWeight,nof_Rings,Complexity,nof_negCharge
3358,0.8285714285714285,0.8190476190476189,molWeight,nof_Rings,Complexity,C_R2
3359,0.7666666666666667,0.8238095238095238,molWeight,nof_Rings,Complexity,C_R1
3365,0.7904761904761904,0.8238095238095238,molWeight,nof_Rings,Complexity,nof_Fragments
3372,0.7904761904761904,0.8190476190476189,molWeight,nof_Rings,Complexity,nof_acetyl
3425,0.8,0.8190476190476191,molWeight,nof_Rings,C_R2,negCharge/Volume
3436,0.7047619047619047,0.8238095238095239,molWeight,nof_Rings,C_R1,C_sp3
3443,0.8285714285714285,0.8238095238095239,molWeight,nof_Rings,C_R1,nof_SH
3526,0.8571428571428571,0.8238095238095239,molWeight,Complexity,nof_posCharge,nof_negCharge
3527,0.7714285714285715,0.8476190476190476,molWeight,Complexity,nof_posCharge,a_heavy
3540,0.7904761904761904,0.8238095238095239,molWeight,Complexity,nof_posCharge,nof_COOH
3542,0.7666666666666667,0.8238095238095238,molWeight,Complexity,nof_posCharge,nof_acetyl
