,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4,Feature  5
435,0.8571428571428571,0.5904761904761904,molWeight,molVolume,molLogS,molArea,nof_Atoms
437,0.880952380952381,0.6380952380952379,molWeight,molVolume,molLogS,molArea,nof_HBA
441,0.8571428571428573,0.7238095238095238,molWeight,molVolume,molLogS,molArea,Complexity
490,0.880952380952381,0.7714285714285714,molWeight,molVolume,molLogS,nof_Atoms,Complexity
532,0.8523809523809524,0.5904761904761904,molWeight,molVolume,molLogS,nof_HBA,nof_HBD
535,0.8523809523809524,0.7857142857142857,molWeight,molVolume,molLogS,nof_HBA,Complexity
539,0.8571428571428571,0.7285714285714285,molWeight,molVolume,molLogS,nof_HBA,C_R2
543,0.8523809523809524,0.6809523809523811,molWeight,molVolume,molLogS,nof_HBA,posCharge/Volume
548,0.8523809523809524,0.6476190476190475,molWeight,molVolume,molLogS,nof_HBA,nof_SO3H
595,0.8523809523809524,0.7095238095238096,molWeight,molVolume,molLogS,nof_Rings,Complexity
646,0.8571428571428573,0.6761904761904761,molWeight,molVolume,molLogS,nof_posCharge,nof_COOH
737,0.8523809523809524,0.7047619047619047,molWeight,molVolume,molLogS,posCharge/Volume,nof_COOH
935,0.8857142857142858,0.6761904761904762,molWeight,molVolume,molPSA,molCharge_total,posCharge/Volume
969,0.8857142857142858,0.7952380952380953,molWeight,molVolume,molPSA,Complexity,C_R1
994,0.8523809523809524,0.6428571428571429,molWeight,molVolume,molPSA,nof_posCharge,nof_SO3H
1042,0.8571428571428573,0.7095238095238096,molWeight,molVolume,molPSA,C_R2,nof_COOH
1110,0.8523809523809524,0.6761904761904762,molWeight,molVolume,molPSA,nof_Fragments,nof_SH
1168,0.8571428571428571,0.6666666666666667,molWeight,molVolume,molArea,nof_Atoms,nof_negCharge
1173,0.8571428571428573,0.7714285714285715,molWeight,molVolume,molArea,nof_Atoms,C_sp3
1189,0.8523809523809524,0.7333333333333333,molWeight,molVolume,molArea,nof_Chirals,Complexity
1203,0.8571428571428571,0.6238095238095238,molWeight,molVolume,molArea,nof_Chirals,nof_SH
1235,0.8571428571428573,0.8285714285714285,molWeight,molVolume,molArea,nof_HBD,a_heavy
1241,0.8571428571428571,0.7095238095238096,molWeight,molVolume,molArea,nof_HBD,negCharge/Volume
1255,0.8523809523809524,0.6476190476190475,molWeight,molVolume,molArea,molCharge_total,a_heavy
1312,0.8571428571428571,0.5571428571428572,molWeight,molVolume,molArea,nof_posCharge,C_R0
1318,0.8523809523809524,0.7333333333333333,molWeight,molVolume,molArea,nof_posCharge,nof_PO4
1322,0.8523809523809524,0.5571428571428572,molWeight,molVolume,molArea,nof_posCharge,nof_COOH
1330,0.8571428571428571,0.7380952380952381,molWeight,molVolume,molArea,nof_negCharge,posCharge/Volume
1353,0.8523809523809524,0.7047619047619047,molWeight,molVolume,molArea,a_heavy,nof_COOH
1379,0.8523809523809524,0.8142857142857143,molWeight,molVolume,molArea,C_R1,nof_NH2
1439,0.8571428571428571,0.7333333333333333,molWeight,molVolume,molArea,nof_Fragments,nof_acetyl
1446,0.8571428571428573,0.6761904761904762,molWeight,molVolume,molArea,nof_SO3H,nof_SH
1568,0.8523809523809524,0.6523809523809524,molWeight,molVolume,PSA/Area,molCharge_total,nof_COOH
1862,0.8523809523809524,0.6476190476190475,molWeight,molVolume,nof_Atoms,nof_Rings,nof_NH2
1952,0.8571428571428573,0.7,molWeight,molVolume,nof_Atoms,C_R1,nof_PO4
2037,0.8523809523809524,0.7047619047619047,molWeight,molVolume,nof_Chirals,nof_HBA,nof_HBD
2047,0.8571428571428573,0.7619047619047619,molWeight,molVolume,nof_Chirals,nof_HBA,C_sp3
2063,0.8523809523809524,0.6238095238095238,molWeight,molVolume,nof_Chirals,nof_HBD,nof_negCharge
2073,0.8571428571428571,0.6285714285714284,molWeight,molVolume,nof_Chirals,nof_HBD,nof_PO4
2081,0.8571428571428571,0.7380952380952379,molWeight,molVolume,nof_Chirals,molCharge_total,Complexity
2082,0.8571428571428571,0.6476190476190475,molWeight,molVolume,nof_Chirals,molCharge_total,nof_posCharge
2089,0.8523809523809524,0.5619047619047619,molWeight,molVolume,nof_Chirals,molCharge_total,posCharge/Volume
2092,0.880952380952381,0.6809523809523811,molWeight,molVolume,nof_Chirals,molCharge_total,nof_Fragments
