,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  4,Feature  4,Feature  4,Feature  4
29594,RotB,,,,,
3670,0.9117647058823529,0.8235294117647058,molWeight,Complexity,nof_SH,nof_COOH
3661,0.9117647058823529,0.7941176470588235,molWeight,Complexity,nof_PO4,nof_COOH
3556,0.9117647058823529,0.7941176470588235,molWeight,Complexity,nof_negCharge,nof_COOH
3548,0.9117647058823529,0.8235294117647058,molWeight,Complexity,nof_negCharge,posCharge/Volume
3185,0.9117647058823529,0.8235294117647058,molWeight,molCharge_total,Complexity,nof_negCharge
3585,0.9117647058823529,0.8235294117647058,molWeight,Complexity,C_R2,nof_COOH
3201,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,nof_acetyl
3543,0.8823529411764706,0.8235294117647058,molWeight,Complexity,nof_negCharge,a_heavy
3544,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_negCharge,C_R2
3677,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_COOH,nof_acetyl
3187,0.8823529411764706,0.8235294117647058,molWeight,molCharge_total,Complexity,C_R2
3199,0.8823529411764706,0.8235294117647058,molWeight,molCharge_total,Complexity,nof_COOH
3526,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_posCharge,nof_negCharge
3197,0.8823529411764706,0.8235294117647058,molWeight,molCharge_total,Complexity,nof_SH
3196,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,nof_SO3H
3195,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,nof_PO4
3198,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,nof_NH2
2746,0.8823529411764706,0.8823529411764706,molWeight,nof_HBA,molCharge_total,Complexity
3673,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_NH2,nof_COOH
3558,0.8823529411764706,0.8235294117647058,molWeight,Complexity,nof_negCharge,nof_acetyl
3540,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_posCharge,nof_COOH
22205,0.8823529411764706,0.6470588235294118,PSA/Area,nof_Rings,nof_negCharge,a_heavy
2554,0.8823529411764706,0.8235294117647058,molWeight,nof_Chirals,Complexity,nof_negCharge
3598,0.8823529411764706,0.7941176470588235,molWeight,Complexity,C_R1,nof_COOH
632,0.8823529411764706,0.7941176470588235,molWeight,molLogP,molCharge_total,Complexity
3666,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_SO3H,nof_COOH
2568,0.8823529411764706,0.8235294117647058,molWeight,nof_Chirals,Complexity,nof_COOH
2785,0.8823529411764706,0.8529411764705882,molWeight,nof_HBA,Complexity,nof_negCharge
7009,0.8823529411764706,0.7058823529411765,molVolume,nof_HBA,nof_NH2,nof_COOH
4393,0.8823529411764706,0.7647058823529411,molWeight,negCharge/Volume,nof_PO4,nof_COOH
671,0.8823529411764706,0.7647058823529411,molWeight,molLogP,Complexity,nof_negCharge
3676,0.8823529411764706,0.8235294117647058,molWeight,Complexity,nof_COOH,nof_OH
7616,0.8823529411764706,0.7941176470588235,molVolume,Complexity,nof_negCharge,nof_COOH
3184,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,nof_posCharge
