,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3
1,0.8235294117647058,0.6176470588235294,molWeight,molVolume,molLogS
3,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea
14,0.8235294117647058,0.6176470588235294,molWeight,molVolume,a_heavy
15,0.8529411764705882,0.6764705882352942,molWeight,molVolume,C_R2
19,0.8529411764705882,0.6764705882352942,molWeight,molVolume,posCharge/Volume
22,0.8235294117647058,0.7058823529411765,molWeight,molVolume,nof_Fragments
23,0.8529411764705882,0.6764705882352942,molWeight,molVolume,nof_PO4
24,0.8235294117647058,0.6470588235294118,molWeight,molVolume,nof_SO3H
25,0.8529411764705882,0.6764705882352942,molWeight,molVolume,nof_SH
40,0.8235294117647058,0.7647058823529411,molWeight,molLogP,Complexity
42,0.8235294117647058,0.7352941176470589,molWeight,molLogP,nof_negCharge
56,0.8823529411764706,0.7058823529411765,molWeight,molLogP,nof_COOH
60,0.8235294117647058,0.6176470588235294,molWeight,molLogS,molArea
79,0.8235294117647058,0.7058823529411765,molWeight,molLogS,nof_Fragments
97,0.8529411764705882,0.7352941176470589,molWeight,molPSA,nof_negCharge
116,0.8235294117647058,0.7352941176470589,molWeight,molArea,nof_Chirals
117,0.8235294117647058,0.6764705882352942,molWeight,molArea,nof_HBA
121,0.8235294117647058,0.8529411764705882,molWeight,molArea,Complexity
125,0.8235294117647058,0.7058823529411765,molWeight,molArea,C_R2
129,0.8235294117647058,0.7058823529411765,molWeight,molArea,posCharge/Volume
130,0.8235294117647058,0.7352941176470589,molWeight,molArea,negCharge/Volume
132,0.8235294117647058,0.7352941176470589,molWeight,molArea,nof_Fragments
134,0.8235294117647058,0.7058823529411765,molWeight,molArea,nof_SO3H
135,0.8235294117647058,0.7058823529411765,molWeight,molArea,nof_SH
137,0.8235294117647058,0.7058823529411765,molWeight,molArea,nof_COOH
138,0.8235294117647058,0.7058823529411765,molWeight,molArea,nof_OH
144,0.8235294117647058,0.6470588235294118,molWeight,PSA/Area,molCharge_total
148,0.8529411764705882,0.6764705882352942,molWeight,PSA/Area,nof_negCharge
162,0.8529411764705882,0.7058823529411765,molWeight,PSA/Area,nof_COOH
169,0.8235294117647058,0.7941176470588235,molWeight,nof_Atoms,nof_Rings
173,0.8235294117647058,0.7352941176470589,molWeight,nof_Atoms,a_heavy
193,0.8529411764705882,0.7941176470588235,molWeight,nof_Chirals,Complexity
