,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
2,0.7941176470588235,0.7352941176470589,molWeight,molVolume,molLogP,molArea
4,0.6764705882352942,0.7058823529411765,molWeight,molVolume,molLogP,nof_Atoms
7,0.6764705882352942,0.7352941176470589,molWeight,molVolume,molLogP,nof_HBD
10,0.7647058823529411,0.7647058823529411,molWeight,molVolume,molLogP,Complexity
14,0.6764705882352942,0.7058823529411765,molWeight,molVolume,molLogP,C_R2
15,0.6470588235294118,0.7058823529411765,molWeight,molVolume,molLogP,C_R1
20,0.7352941176470589,0.7058823529411765,molWeight,molVolume,molLogP,nof_RotB
21,0.7058823529411765,0.7352941176470589,molWeight,molVolume,molLogP,nof_Fragments
38,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molLogS,Complexity
57,0.8235294117647058,0.7352941176470589,molWeight,molVolume,molPSA,molArea
58,0.7058823529411765,0.7058823529411765,molWeight,molVolume,molPSA,PSA/Area
60,0.7352941176470589,0.7058823529411765,molWeight,molVolume,molPSA,nof_Chirals
61,0.7352941176470589,0.7352941176470589,molWeight,molVolume,molPSA,nof_HBA
64,0.7352941176470589,0.7058823529411765,molWeight,molVolume,molPSA,nof_Rings
65,0.7941176470588235,0.7647058823529411,molWeight,molVolume,molPSA,Complexity
71,0.7941176470588235,0.7058823529411765,molWeight,molVolume,molPSA,C_R0
72,0.7352941176470589,0.7352941176470589,molWeight,molVolume,molPSA,C_sp3
74,0.7647058823529411,0.7352941176470589,molWeight,molVolume,molPSA,negCharge/Volume
75,0.7352941176470589,0.7058823529411765,molWeight,molVolume,molPSA,nof_RotB
81,0.7941176470588235,0.7058823529411765,molWeight,molVolume,molPSA,nof_COOH
84,0.7058823529411765,0.7058823529411765,molWeight,molVolume,molArea,PSA/Area
85,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_Atoms
88,0.8235294117647058,0.7647058823529411,molWeight,molVolume,molArea,nof_HBD
90,0.7941176470588235,0.7058823529411765,molWeight,molVolume,molArea,nof_Rings
91,0.8529411764705882,0.8529411764705882,molWeight,molVolume,molArea,Complexity
92,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_posCharge
93,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_negCharge
96,0.8235294117647058,0.7352941176470589,molWeight,molVolume,molArea,C_R1
98,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,C_sp3
100,0.8235294117647058,0.7352941176470589,molWeight,molVolume,molArea,negCharge/Volume
101,0.7647058823529411,0.7058823529411765,molWeight,molVolume,molArea,nof_RotB
102,0.8235294117647058,0.7352941176470589,molWeight,molVolume,molArea,nof_Fragments
103,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_PO4
105,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_SH
106,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_NH2
107,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_COOH
110,0.7058823529411765,0.7058823529411765,molWeight,molVolume,PSA/Area,nof_Atoms
114,0.7647058823529411,0.7058823529411765,molWeight,molVolume,PSA/Area,molCharge_total
119,0.7352941176470589,0.7058823529411765,molWeight,molVolume,PSA/Area,a_heavy
120,0.7352941176470589,0.7058823529411765,molWeight,molVolume,PSA/Area,C_R2
123,0.7058823529411765,0.7058823529411765,molWeight,molVolume,PSA/Area,C_sp3
124,0.7352941176470589,0.7058823529411765,molWeight,molVolume,PSA/Area,posCharge/Volume
134,0.7058823529411765,0.7058823529411765,molWeight,molVolume,PSA/Area,nof_acetyl
135,0.7647058823529411,0.7647058823529411,molWeight,molVolume,nof_Atoms,nof_Chirals
136,0.7647058823529411,0.7058823529411765,molWeight,molVolume,nof_Atoms,nof_HBA
137,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_Atoms,nof_HBD
138,0.7647058823529411,0.7352941176470589,molWeight,molVolume,nof_Atoms,molCharge_total
139,0.7941176470588235,0.7647058823529411,molWeight,molVolume,nof_Atoms,nof_Rings
140,0.7941176470588235,0.7941176470588235,molWeight,molVolume,nof_Atoms,Complexity
141,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_Atoms,nof_posCharge
142,0.7647058823529411,0.7058823529411765,molWeight,molVolume,nof_Atoms,nof_negCharge
143,0.8235294117647058,0.7058823529411765,molWeight,molVolume,nof_Atoms,a_heavy
144,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Atoms,C_R2
145,0.7647058823529411,0.7352941176470589,molWeight,molVolume,nof_Atoms,C_R1
147,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Atoms,C_sp3
148,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Atoms,posCharge/Volume
149,0.7647058823529411,0.7058823529411765,molWeight,molVolume,nof_Atoms,negCharge/Volume
150,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Atoms,nof_RotB
