,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
2,0.7941176470588235,0.7352941176470589,molWeight,molVolume,molLogP,molArea
5,0.7941176470588235,0.6470588235294118,molWeight,molVolume,molLogP,nof_Chirals
8,0.7941176470588235,0.6764705882352942,molWeight,molVolume,molLogP,molCharge_total
10,0.7647058823529411,0.7647058823529411,molWeight,molVolume,molLogP,Complexity
13,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molLogP,a_heavy
16,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molLogP,C_R0
26,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molLogP,nof_COOH
29,0.7941176470588235,0.6470588235294118,molWeight,molVolume,molLogS,molPSA
30,0.7941176470588235,0.5882352941176471,molWeight,molVolume,molLogS,molArea
32,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molLogS,nof_Atoms
33,0.7647058823529411,0.6176470588235294,molWeight,molVolume,molLogS,nof_Chirals
34,0.7941176470588235,0.6470588235294118,molWeight,molVolume,molLogS,nof_HBA
35,0.7941176470588235,0.5882352941176471,molWeight,molVolume,molLogS,nof_HBD
36,0.7647058823529411,0.5588235294117647,molWeight,molVolume,molLogS,molCharge_total
37,0.7941176470588235,0.6176470588235294,molWeight,molVolume,molLogS,nof_Rings
38,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molLogS,Complexity
39,0.8235294117647058,0.6176470588235294,molWeight,molVolume,molLogS,nof_posCharge
41,0.7647058823529411,0.6176470588235294,molWeight,molVolume,molLogS,a_heavy
42,0.7647058823529411,0.5882352941176471,molWeight,molVolume,molLogS,C_R2
43,0.7647058823529411,0.5588235294117647,molWeight,molVolume,molLogS,C_R1
44,0.7647058823529411,0.5588235294117647,molWeight,molVolume,molLogS,C_R0
45,0.7941176470588235,0.5294117647058824,molWeight,molVolume,molLogS,C_sp3
46,0.7941176470588235,0.5588235294117647,molWeight,molVolume,molLogS,posCharge/Volume
49,0.7647058823529411,0.6470588235294118,molWeight,molVolume,molLogS,nof_Fragments
50,0.7647058823529411,0.6176470588235294,molWeight,molVolume,molLogS,nof_PO4
51,0.7941176470588235,0.5588235294117647,molWeight,molVolume,molLogS,nof_SO3H
52,0.8235294117647058,0.5882352941176471,molWeight,molVolume,molLogS,nof_SH
53,0.7647058823529411,0.5294117647058824,molWeight,molVolume,molLogS,nof_NH2
54,0.7941176470588235,0.5882352941176471,molWeight,molVolume,molLogS,nof_COOH
55,0.7647058823529411,0.5588235294117647,molWeight,molVolume,molLogS,nof_OH
56,0.7647058823529411,0.6176470588235294,molWeight,molVolume,molLogS,nof_acetyl
57,0.8235294117647058,0.7352941176470589,molWeight,molVolume,molPSA,molArea
59,0.7941176470588235,0.6470588235294118,molWeight,molVolume,molPSA,nof_Atoms
62,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molPSA,nof_HBD
63,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molPSA,molCharge_total
65,0.7941176470588235,0.7647058823529411,molWeight,molVolume,molPSA,Complexity
66,0.7941176470588235,0.6764705882352942,molWeight,molVolume,molPSA,nof_posCharge
67,0.7647058823529411,0.6176470588235294,molWeight,molVolume,molPSA,nof_negCharge
68,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molPSA,a_heavy
69,0.8235294117647058,0.6470588235294118,molWeight,molVolume,molPSA,C_R2
70,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molPSA,C_R1
71,0.7941176470588235,0.7058823529411765,molWeight,molVolume,molPSA,C_R0
73,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molPSA,posCharge/Volume
74,0.7647058823529411,0.7352941176470589,molWeight,molVolume,molPSA,negCharge/Volume
76,0.7941176470588235,0.6764705882352942,molWeight,molVolume,molPSA,nof_Fragments
77,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molPSA,nof_PO4
78,0.8235294117647058,0.6470588235294118,molWeight,molVolume,molPSA,nof_SO3H
79,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molPSA,nof_SH
80,0.7647058823529411,0.6764705882352942,molWeight,molVolume,molPSA,nof_NH2
81,0.7941176470588235,0.7058823529411765,molWeight,molVolume,molPSA,nof_COOH
82,0.7647058823529411,0.6470588235294118,molWeight,molVolume,molPSA,nof_OH
83,0.7941176470588235,0.6470588235294118,molWeight,molVolume,molPSA,nof_acetyl
85,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_Atoms
86,0.8235294117647058,0.6764705882352942,molWeight,molVolume,molArea,nof_Chirals
87,0.7941176470588235,0.6470588235294118,molWeight,molVolume,molArea,nof_HBA
88,0.8235294117647058,0.7647058823529411,molWeight,molVolume,molArea,nof_HBD
89,0.8235294117647058,0.6764705882352942,molWeight,molVolume,molArea,molCharge_total
90,0.7941176470588235,0.7058823529411765,molWeight,molVolume,molArea,nof_Rings
91,0.8529411764705882,0.8529411764705882,molWeight,molVolume,molArea,Complexity
92,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_posCharge
93,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_negCharge
94,0.8235294117647058,0.6764705882352942,molWeight,molVolume,molArea,a_heavy
95,0.8235294117647058,0.6764705882352942,molWeight,molVolume,molArea,C_R2
96,0.8235294117647058,0.7352941176470589,molWeight,molVolume,molArea,C_R1
97,0.7941176470588235,0.6764705882352942,molWeight,molVolume,molArea,C_R0
98,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,C_sp3
99,0.8235294117647058,0.6764705882352942,molWeight,molVolume,molArea,posCharge/Volume
100,0.8235294117647058,0.7352941176470589,molWeight,molVolume,molArea,negCharge/Volume
101,0.7647058823529411,0.7058823529411765,molWeight,molVolume,molArea,nof_RotB
102,0.8235294117647058,0.7352941176470589,molWeight,molVolume,molArea,nof_Fragments
103,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_PO4
104,0.8235294117647058,0.6764705882352942,molWeight,molVolume,molArea,nof_SO3H
105,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_SH
106,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_NH2
107,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea,nof_COOH
108,0.8235294117647058,0.6764705882352942,molWeight,molVolume,molArea,nof_OH
109,0.8235294117647058,0.6764705882352942,molWeight,molVolume,molArea,nof_acetyl
113,0.7647058823529411,0.6764705882352942,molWeight,molVolume,PSA/Area,nof_HBD
114,0.7647058823529411,0.7058823529411765,molWeight,molVolume,PSA/Area,molCharge_total
135,0.7647058823529411,0.7647058823529411,molWeight,molVolume,nof_Atoms,nof_Chirals
136,0.7647058823529411,0.7058823529411765,molWeight,molVolume,nof_Atoms,nof_HBA
137,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_Atoms,nof_HBD
138,0.7647058823529411,0.7352941176470589,molWeight,molVolume,nof_Atoms,molCharge_total
139,0.7941176470588235,0.7647058823529411,molWeight,molVolume,nof_Atoms,nof_Rings
140,0.7941176470588235,0.7941176470588235,molWeight,molVolume,nof_Atoms,Complexity
141,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_Atoms,nof_posCharge
142,0.7647058823529411,0.7058823529411765,molWeight,molVolume,nof_Atoms,nof_negCharge
143,0.8235294117647058,0.7058823529411765,molWeight,molVolume,nof_Atoms,a_heavy
144,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Atoms,C_R2
145,0.7647058823529411,0.7352941176470589,molWeight,molVolume,nof_Atoms,C_R1
146,0.7941176470588235,0.6764705882352942,molWeight,molVolume,nof_Atoms,C_R0
147,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Atoms,C_sp3
148,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Atoms,posCharge/Volume
149,0.7647058823529411,0.7058823529411765,molWeight,molVolume,nof_Atoms,negCharge/Volume
150,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Atoms,nof_RotB
152,0.8235294117647058,0.7352941176470589,molWeight,molVolume,nof_Atoms,nof_PO4
153,0.7647058823529411,0.7352941176470589,molWeight,molVolume,nof_Atoms,nof_SO3H
