,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3
121,0.8235294117647058,0.8529411764705882,molWeight,molArea,Complexity
215,0.8235294117647058,0.8823529411764706,molWeight,nof_HBA,Complexity
556,0.7941176470588235,0.8529411764705882,molVolume,molArea,Complexity
2065,0.7941176470588235,0.8529411764705882,molArea,nof_Atoms,Complexity
2088,0.8235294117647058,0.8529411764705882,molArea,nof_Chirals,Complexity
2110,0.8235294117647058,0.8823529411764706,molArea,nof_HBA,Complexity
2131,0.8235294117647058,0.8529411764705882,molArea,nof_HBD,Complexity
2151,0.7941176470588235,0.8529411764705882,molArea,molCharge_total,Complexity
2170,0.8235294117647058,0.8529411764705882,molArea,nof_Rings,Complexity
2189,0.7941176470588235,0.8529411764705882,molArea,Complexity,nof_posCharge
2190,0.8823529411764706,0.8529411764705882,molArea,Complexity,nof_negCharge
2191,0.8235294117647058,0.8529411764705882,molArea,Complexity,a_heavy
2192,0.8235294117647058,0.8529411764705882,molArea,Complexity,C_R2
2193,0.7941176470588235,0.8529411764705882,molArea,Complexity,C_R1
2194,0.7647058823529411,0.8529411764705882,molArea,Complexity,C_R0
2195,0.7352941176470589,0.8529411764705882,molArea,Complexity,C_sp3
2196,0.8529411764705882,0.8529411764705882,molArea,Complexity,posCharge/Volume
2197,0.7941176470588235,0.8529411764705882,molArea,Complexity,negCharge/Volume
2198,0.7941176470588235,0.8529411764705882,molArea,Complexity,nof_RotB
2199,0.7941176470588235,0.8529411764705882,molArea,Complexity,nof_Fragments
2200,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_PO4
2201,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_SO3H
2202,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_SH
2203,0.7647058823529411,0.8529411764705882,molArea,Complexity,nof_NH2
2204,0.8823529411764706,0.8529411764705882,molArea,Complexity,nof_COOH
2205,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_OH
2206,0.7352941176470589,0.8529411764705882,molArea,Complexity,nof_acetyl
3251,0.7647058823529411,0.8529411764705882,nof_HBA,Complexity,a_heavy
3822,0.8529411764705882,0.8529411764705882,nof_Rings,Complexity,a_heavy
