,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
91,0.8529411764705882,0.8529411764705882,molWeight,molVolume,molArea,Complexity
185,0.7941176470588235,0.8529411764705882,molWeight,molVolume,nof_HBA,Complexity
471,0.7941176470588235,0.8235294117647058,molWeight,molLogP,molPSA,Complexity
569,0.8235294117647058,0.8235294117647058,molWeight,molLogP,nof_Chirals,Complexity
591,0.7941176470588235,0.8235294117647058,molWeight,molLogP,nof_HBA,Complexity
670,0.8235294117647058,0.8235294117647058,molWeight,molLogP,Complexity,nof_posCharge
678,0.7941176470588235,0.8235294117647058,molWeight,molLogP,Complexity,negCharge/Volume
685,0.8529411764705882,0.8235294117647058,molWeight,molLogP,Complexity,nof_COOH
969,0.7647058823529411,0.8235294117647058,molWeight,molLogS,nof_HBA,Complexity
1226,0.7941176470588235,0.8235294117647058,molWeight,molPSA,molArea,Complexity
1320,0.7058823529411765,0.8823529411764706,molWeight,molPSA,nof_HBA,Complexity
1361,0.8529411764705882,0.8235294117647058,molWeight,molPSA,molCharge_total,Complexity
1380,0.8235294117647058,0.8235294117647058,molWeight,molPSA,nof_Rings,Complexity
1400,0.8529411764705882,0.8235294117647058,molWeight,molPSA,Complexity,nof_negCharge
1403,0.8529411764705882,0.8235294117647058,molWeight,molPSA,Complexity,C_R1
1405,0.7647058823529411,0.8235294117647058,molWeight,molPSA,Complexity,C_sp3
1407,0.7647058823529411,0.8235294117647058,molWeight,molPSA,Complexity,negCharge/Volume
1410,0.8235294117647058,0.8235294117647058,molWeight,molPSA,Complexity,nof_PO4
1413,0.7941176470588235,0.8235294117647058,molWeight,molPSA,Complexity,nof_NH2
1414,0.8235294117647058,0.8235294117647058,molWeight,molPSA,Complexity,nof_COOH
1600,0.8529411764705882,0.8529411764705882,molWeight,molArea,nof_Atoms,Complexity
1623,0.8529411764705882,0.8529411764705882,molWeight,molArea,nof_Chirals,Complexity
1645,0.8235294117647058,0.8529411764705882,molWeight,molArea,nof_HBA,Complexity
1666,0.8235294117647058,0.8235294117647058,molWeight,molArea,nof_HBD,Complexity
1686,0.8529411764705882,0.8529411764705882,molWeight,molArea,molCharge_total,Complexity
1705,0.8235294117647058,0.8235294117647058,molWeight,molArea,nof_Rings,Complexity
1724,0.8235294117647058,0.8235294117647058,molWeight,molArea,Complexity,nof_posCharge
1725,0.8235294117647058,0.8235294117647058,molWeight,molArea,Complexity,nof_negCharge
1726,0.8529411764705882,0.8235294117647058,molWeight,molArea,Complexity,a_heavy
1727,0.8235294117647058,0.8529411764705882,molWeight,molArea,Complexity,C_R2
1728,0.8235294117647058,0.8529411764705882,molWeight,molArea,Complexity,C_R1
1729,0.8235294117647058,0.8235294117647058,molWeight,molArea,Complexity,C_R0
1730,0.8529411764705882,0.8529411764705882,molWeight,molArea,Complexity,C_sp3
1731,0.8529411764705882,0.8529411764705882,molWeight,molArea,Complexity,posCharge/Volume
1732,0.8529411764705882,0.8235294117647058,molWeight,molArea,Complexity,negCharge/Volume
1733,0.8235294117647058,0.8235294117647058,molWeight,molArea,Complexity,nof_RotB
1734,0.8235294117647058,0.8529411764705882,molWeight,molArea,Complexity,nof_Fragments
1735,0.8235294117647058,0.8235294117647058,molWeight,molArea,Complexity,nof_PO4
1736,0.8235294117647058,0.8529411764705882,molWeight,molArea,Complexity,nof_SO3H
1737,0.8235294117647058,0.8529411764705882,molWeight,molArea,Complexity,nof_SH
1738,0.8235294117647058,0.8529411764705882,molWeight,molArea,Complexity,nof_NH2
