,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
91,0.8529411764705882,0.8529411764705882,molWeight,molVolume,molArea,Complexity
164,0.8529411764705882,0.7352941176470589,molWeight,molVolume,nof_Chirals,nof_posCharge
166,0.8529411764705882,0.7058823529411765,molWeight,molVolume,nof_Chirals,a_heavy
167,0.8529411764705882,0.7352941176470589,molWeight,molVolume,nof_Chirals,C_R2
168,0.8529411764705882,0.7941176470588235,molWeight,molVolume,nof_Chirals,C_R1
171,0.8529411764705882,0.7058823529411765,molWeight,molVolume,nof_Chirals,posCharge/Volume
172,0.8529411764705882,0.7647058823529411,molWeight,molVolume,nof_Chirals,negCharge/Volume
175,0.8529411764705882,0.7058823529411765,molWeight,molVolume,nof_Chirals,nof_PO4
176,0.8529411764705882,0.7352941176470589,molWeight,molVolume,nof_Chirals,nof_SO3H
177,0.8529411764705882,0.7058823529411765,molWeight,molVolume,nof_Chirals,nof_SH
178,0.8529411764705882,0.6470588235294118,molWeight,molVolume,nof_Chirals,nof_NH2
180,0.8529411764705882,0.7058823529411765,molWeight,molVolume,nof_Chirals,nof_OH
218,0.8529411764705882,0.7941176470588235,molWeight,molVolume,nof_HBD,nof_PO4
221,0.8529411764705882,0.6764705882352942,molWeight,molVolume,nof_HBD,nof_NH2
222,0.8529411764705882,0.7647058823529411,molWeight,molVolume,nof_HBD,nof_COOH
223,0.8529411764705882,0.7941176470588235,molWeight,molVolume,nof_HBD,nof_OH
224,0.8529411764705882,0.7941176470588235,molWeight,molVolume,nof_HBD,nof_acetyl
283,0.8529411764705882,0.6470588235294118,molWeight,molVolume,nof_posCharge,a_heavy
284,0.8529411764705882,0.6470588235294118,molWeight,molVolume,nof_posCharge,C_R2
292,0.8529411764705882,0.6470588235294118,molWeight,molVolume,nof_posCharge,nof_PO4
293,0.8529411764705882,0.6764705882352942,molWeight,molVolume,nof_posCharge,nof_SO3H
294,0.8529411764705882,0.6764705882352942,molWeight,molVolume,nof_posCharge,nof_SH
315,0.8529411764705882,0.6764705882352942,molWeight,molVolume,a_heavy,C_R2
323,0.8529411764705882,0.6470588235294118,molWeight,molVolume,a_heavy,nof_PO4
325,0.8529411764705882,0.6764705882352942,molWeight,molVolume,a_heavy,nof_SH
326,0.8529411764705882,0.6176470588235294,molWeight,molVolume,a_heavy,nof_NH2
329,0.8529411764705882,0.6470588235294118,molWeight,molVolume,a_heavy,nof_acetyl
333,0.8529411764705882,0.6764705882352942,molWeight,molVolume,C_R2,posCharge/Volume
337,0.8529411764705882,0.6764705882352942,molWeight,molVolume,C_R2,nof_PO4
338,0.8529411764705882,0.6764705882352942,molWeight,molVolume,C_R2,nof_SO3H
339,0.8529411764705882,0.6764705882352942,molWeight,molVolume,C_R2,nof_SH
340,0.8529411764705882,0.6470588235294118,molWeight,molVolume,C_R2,nof_NH2
343,0.8529411764705882,0.6470588235294118,molWeight,molVolume,C_R2,nof_acetyl
353,0.8529411764705882,0.7058823529411765,molWeight,molVolume,C_R1,nof_NH2
384,0.8529411764705882,0.6764705882352942,molWeight,molVolume,posCharge/Volume,nof_SO3H
385,0.8529411764705882,0.6470588235294118,molWeight,molVolume,posCharge/Volume,nof_SH
388,0.8529411764705882,0.6470588235294118,molWeight,molVolume,posCharge/Volume,nof_OH
389,0.8529411764705882,0.6764705882352942,molWeight,molVolume,posCharge/Volume,nof_acetyl
395,0.8529411764705882,0.6764705882352942,molWeight,molVolume,negCharge/Volume,nof_NH2
414,0.8529411764705882,0.6470588235294118,molWeight,molVolume,nof_PO4,nof_SO3H
415,0.8529411764705882,0.6764705882352942,molWeight,molVolume,nof_PO4,nof_SH
420,0.8529411764705882,0.6764705882352942,molWeight,molVolume,nof_SO3H,nof_SH
632,0.8823529411764706,0.7941176470588235,molWeight,molLogP,molCharge_total,Complexity
648,0.8529411764705882,0.7352941176470589,molWeight,molLogP,molCharge_total,nof_COOH
671,0.8823529411764706,0.7647058823529411,molWeight,molLogP,Complexity,nof_negCharge
674,0.8529411764705882,0.7647058823529411,molWeight,molLogP,Complexity,C_R1
677,0.8529411764705882,0.7647058823529411,molWeight,molLogP,Complexity,posCharge/Volume
685,0.8529411764705882,0.8235294117647058,molWeight,molLogP,Complexity,nof_COOH
686,0.8529411764705882,0.7941176470588235,molWeight,molLogP,Complexity,nof_OH
718,0.8529411764705882,0.7058823529411765,molWeight,molLogP,nof_negCharge,nof_COOH
828,0.8529411764705882,0.7058823529411765,molWeight,molLogP,nof_SO3H,nof_COOH
979,0.8529411764705882,0.6764705882352942,molWeight,molLogS,nof_HBA,nof_RotB
1187,0.8529411764705882,0.5882352941176471,molWeight,molLogS,nof_RotB,nof_NH2
1361,0.8529411764705882,0.8235294117647058,molWeight,molPSA,molCharge_total,Complexity
1363,0.8529411764705882,0.7352941176470589,molWeight,molPSA,molCharge_total,nof_negCharge
1369,0.8529411764705882,0.6764705882352942,molWeight,molPSA,molCharge_total,posCharge/Volume
1400,0.8529411764705882,0.8235294117647058,molWeight,molPSA,Complexity,nof_negCharge
1402,0.8529411764705882,0.7941176470588235,molWeight,molPSA,Complexity,C_R2
1403,0.8529411764705882,0.8235294117647058,molWeight,molPSA,Complexity,C_R1
1404,0.8529411764705882,0.7941176470588235,molWeight,molPSA,Complexity,C_R0
1600,0.8529411764705882,0.8529411764705882,molWeight,molArea,nof_Atoms,Complexity
1623,0.8529411764705882,0.8529411764705882,molWeight,molArea,nof_Chirals,Complexity
1686,0.8529411764705882,0.8529411764705882,molWeight,molArea,molCharge_total,Complexity
1726,0.8529411764705882,0.8235294117647058,molWeight,molArea,Complexity,a_heavy
1730,0.8529411764705882,0.8529411764705882,molWeight,molArea,Complexity,C_sp3
1731,0.8529411764705882,0.8529411764705882,molWeight,molArea,Complexity,posCharge/Volume
1732,0.8529411764705882,0.8235294117647058,molWeight,molArea,Complexity,negCharge/Volume
1739,0.8529411764705882,0.8235294117647058,molWeight,molArea,Complexity,nof_COOH
1741,0.8529411764705882,0.8235294117647058,molWeight,molArea,Complexity,nof_acetyl
1984,0.8529411764705882,0.7058823529411765,molWeight,PSA/Area,nof_HBD,nof_acetyl
2017,0.8529411764705882,0.6764705882352942,molWeight,PSA/Area,nof_Rings,nof_PO4
2021,0.8529411764705882,0.6764705882352942,molWeight,PSA/Area,nof_Rings,nof_COOH
2070,0.8529411764705882,0.6764705882352942,molWeight,PSA/Area,nof_negCharge,nof_SH
2073,0.8529411764705882,0.6470588235294118,molWeight,PSA/Area,nof_negCharge,nof_OH
2262,0.8529411764705882,0.8235294117647058,molWeight,nof_Atoms,molCharge_total,Complexity
2331,0.8529411764705882,0.7058823529411765,molWeight,nof_Atoms,nof_posCharge,nof_NH2
2484,0.8529411764705882,0.7058823529411765,molWeight,nof_Chirals,nof_HBA,nof_RotB
2515,0.8823529411764706,0.7941176470588235,molWeight,nof_Chirals,molCharge_total,Complexity
2544,0.8529411764705882,0.7352941176470589,molWeight,nof_Chirals,nof_Rings,nof_RotB
2554,0.8823529411764706,0.8235294117647058,molWeight,nof_Chirals,Complexity,nof_negCharge
2564,0.8529411764705882,0.8235294117647058,molWeight,nof_Chirals,Complexity,nof_PO4
2568,0.8823529411764706,0.8235294117647058,molWeight,nof_Chirals,Complexity,nof_COOH
2600,0.8529411764705882,0.7058823529411765,molWeight,nof_Chirals,nof_negCharge,nof_NH2
2742,0.8529411764705882,0.7352941176470589,molWeight,nof_HBA,nof_HBD,nof_COOH
2746,0.8823529411764706,0.8823529411764706,molWeight,nof_HBA,molCharge_total,Complexity
2754,0.8529411764705882,0.7352941176470589,molWeight,nof_HBA,molCharge_total,posCharge/Volume
2755,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,molCharge_total,negCharge/Volume
2785,0.8823529411764706,0.8529411764705882,molWeight,nof_HBA,Complexity,nof_negCharge
2799,0.8529411764705882,0.9117647058823529,molWeight,nof_HBA,Complexity,nof_COOH
2810,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,nof_posCharge,nof_RotB
2825,0.8529411764705882,0.7352941176470589,molWeight,nof_HBA,nof_negCharge,negCharge/Volume
2826,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,nof_negCharge,nof_RotB
2861,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,C_R2,nof_COOH
2901,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,posCharge/Volume,nof_RotB
2910,0.8529411764705882,0.7352941176470589,molWeight,nof_HBA,negCharge/Volume,nof_RotB
2922,0.8529411764705882,0.7352941176470589,molWeight,nof_HBA,nof_RotB,nof_SH
2924,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,nof_RotB,nof_COOH
2937,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,nof_PO4,nof_COOH
2946,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,nof_SH,nof_COOH
2952,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,nof_COOH,nof_OH
2956,0.8529411764705882,0.7941176470588235,molWeight,nof_HBD,molCharge_total,Complexity
2972,0.8529411764705882,0.7352941176470589,molWeight,nof_HBD,molCharge_total,nof_COOH
2995,0.8529411764705882,0.7941176470588235,molWeight,nof_HBD,Complexity,nof_negCharge
2999,0.8529411764705882,0.7647058823529411,molWeight,nof_HBD,Complexity,C_R0
3035,0.8529411764705882,0.7058823529411765,molWeight,nof_HBD,nof_negCharge,negCharge/Volume
3036,0.8529411764705882,0.7941176470588235,molWeight,nof_HBD,nof_negCharge,nof_RotB
3151,0.8529411764705882,0.7058823529411765,molWeight,nof_HBD,nof_SO3H,nof_NH2
3165,0.8529411764705882,0.8235294117647058,molWeight,molCharge_total,nof_Rings,Complexity
3184,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,nof_posCharge
3185,0.9117647058823528,0.8235294117647058,molWeight,molCharge_total,Complexity,nof_negCharge
3186,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,a_heavy
3187,0.8823529411764706,0.8235294117647058,molWeight,molCharge_total,Complexity,C_R2
3188,0.8529411764705882,0.7941176470588235,molWeight,molCharge_total,Complexity,C_R1
3191,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,posCharge/Volume
3192,0.8529411764705882,0.8235294117647058,molWeight,molCharge_total,Complexity,negCharge/Volume
3195,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,nof_PO4
3196,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,nof_SO3H
3197,0.8823529411764706,0.8235294117647058,molWeight,molCharge_total,Complexity,nof_SH
3198,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,nof_NH2
3199,0.8823529411764706,0.8235294117647058,molWeight,molCharge_total,Complexity,nof_COOH
3200,0.8529411764705882,0.7941176470588235,molWeight,molCharge_total,Complexity,nof_OH
3201,0.8823529411764706,0.7941176470588235,molWeight,molCharge_total,Complexity,nof_acetyl
3355,0.8529411764705882,0.7941176470588235,molWeight,nof_Rings,Complexity,nof_posCharge
3364,0.8529411764705882,0.7941176470588235,molWeight,nof_Rings,Complexity,nof_RotB
3365,0.8529411764705882,0.8235294117647058,molWeight,nof_Rings,Complexity,nof_Fragments
3366,0.8529411764705882,0.8235294117647058,molWeight,nof_Rings,Complexity,nof_PO4
3372,0.8529411764705882,0.7941176470588235,molWeight,nof_Rings,Complexity,nof_acetyl
3374,0.8529411764705882,0.7058823529411765,molWeight,nof_Rings,nof_posCharge,a_heavy
3397,0.8529411764705882,0.6764705882352942,molWeight,nof_Rings,nof_negCharge,nof_RotB
3410,0.8529411764705882,0.6764705882352942,molWeight,nof_Rings,a_heavy,posCharge/Volume
3413,0.8529411764705882,0.7352941176470589,molWeight,nof_Rings,a_heavy,nof_Fragments
3439,0.8529411764705882,0.7941176470588235,molWeight,nof_Rings,C_R1,nof_RotB
3462,0.8529411764705882,0.7058823529411765,molWeight,nof_Rings,C_sp3,nof_RotB
3472,0.8529411764705882,0.7058823529411765,molWeight,nof_Rings,posCharge/Volume,nof_RotB
3481,0.8529411764705882,0.7647058823529411,molWeight,nof_Rings,negCharge/Volume,nof_RotB
3491,0.8529411764705882,0.7058823529411765,molWeight,nof_Rings,nof_RotB,nof_PO4
3493,0.8529411764705882,0.7352941176470589,molWeight,nof_Rings,nof_RotB,nof_SH
3495,0.8529411764705882,0.7352941176470589,molWeight,nof_Rings,nof_RotB,nof_COOH
3497,0.8529411764705882,0.7058823529411765,molWeight,nof_Rings,nof_RotB,nof_acetyl
3526,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_posCharge,nof_negCharge
3540,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_posCharge,nof_COOH
3543,0.8823529411764706,0.8235294117647058,molWeight,Complexity,nof_negCharge,a_heavy
3544,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_negCharge,C_R2
3545,0.8529411764705882,0.7941176470588235,molWeight,Complexity,nof_negCharge,C_R1
3548,0.9117647058823528,0.8235294117647058,molWeight,Complexity,nof_negCharge,posCharge/Volume
3549,0.8823529411764706,0.8235294117647058,molWeight,Complexity,nof_negCharge,negCharge/Volume
3552,0.8529411764705882,0.7941176470588235,molWeight,Complexity,nof_negCharge,nof_PO4
3553,0.8823529411764706,0.8235294117647058,molWeight,Complexity,nof_negCharge,nof_SO3H
3554,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_negCharge,nof_SH
3555,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_negCharge,nof_NH2
3556,0.9117647058823528,0.7941176470588235,molWeight,Complexity,nof_negCharge,nof_COOH
3557,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_negCharge,nof_OH
3558,0.8823529411764706,0.8235294117647058,molWeight,Complexity,nof_negCharge,nof_acetyl
3571,0.8529411764705882,0.7647058823529411,molWeight,Complexity,a_heavy,nof_COOH
3583,0.8529411764705882,0.8235294117647058,molWeight,Complexity,C_R2,nof_SH
3585,0.9117647058823528,0.8235294117647058,molWeight,Complexity,C_R2,nof_COOH
3588,0.8529411764705882,0.7352941176470589,molWeight,Complexity,C_R1,C_R0
3598,0.8823529411764706,0.7941176470588235,molWeight,Complexity,C_R1,nof_COOH
3627,0.8529411764705882,0.8235294117647058,molWeight,Complexity,posCharge/Volume,nof_PO4
3631,0.8823529411764706,0.7941176470588235,molWeight,Complexity,posCharge/Volume,nof_COOH
3640,0.8529411764705882,0.8235294117647058,molWeight,Complexity,negCharge/Volume,nof_COOH
3661,0.9117647058823528,0.7941176470588235,molWeight,Complexity,nof_PO4,nof_COOH
3666,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_SO3H,nof_COOH
3667,0.8529411764705882,0.8235294117647058,molWeight,Complexity,nof_SO3H,nof_OH
3669,0.8529411764705882,0.7941176470588235,molWeight,Complexity,nof_SH,nof_NH2
3670,0.9117647058823528,0.8235294117647058,molWeight,Complexity,nof_SH,nof_COOH
3673,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_NH2,nof_COOH
3676,0.8823529411764706,0.8235294117647058,molWeight,Complexity,nof_COOH,nof_OH
3677,0.8823529411764706,0.7941176470588235,molWeight,Complexity,nof_COOH,nof_acetyl
3903,0.8529411764705882,0.6764705882352942,molWeight,nof_negCharge,nof_RotB,nof_NH2
3929,0.8529411764705882,0.7058823529411765,molWeight,nof_negCharge,nof_NH2,nof_COOH
4125,0.8529411764705882,0.7352941176470589,molWeight,C_R2,nof_NH2,nof_COOH
4161,0.8529411764705882,0.7647058823529411,molWeight,C_R1,posCharge/Volume,nof_COOH
4336,0.8529411764705882,0.7647058823529411,molWeight,posCharge/Volume,negCharge/Volume,nof_COOH
4362,0.8529411764705882,0.7058823529411765,molWeight,posCharge/Volume,nof_SO3H,nof_COOH
4393,0.8823529411764706,0.7647058823529411,molWeight,negCharge/Volume,nof_PO4,nof_COOH
4402,0.8529411764705882,0.7647058823529411,molWeight,negCharge/Volume,nof_SH,nof_COOH
4405,0.8529411764705882,0.7058823529411765,molWeight,negCharge/Volume,nof_NH2,nof_COOH
4408,0.8529411764705882,0.7647058823529411,molWeight,negCharge/Volume,nof_COOH,nof_OH
4433,0.8529411764705882,0.7352941176470589,molWeight,nof_RotB,nof_NH2,nof_COOH
5007,0.8529411764705882,0.7352941176470589,molVolume,molLogS,nof_Chirals,Complexity
6543,0.8529411764705882,0.6764705882352942,molVolume,nof_Chirals,nof_HBA,negCharge/Volume
6546,0.8529411764705882,0.6764705882352942,molVolume,nof_Chirals,nof_HBA,nof_PO4
6575,0.8529411764705882,0.7941176470588235,molVolume,nof_Chirals,molCharge_total,Complexity
6613,0.8529411764705882,0.7941176470588235,molVolume,nof_Chirals,Complexity,nof_posCharge
6616,0.8529411764705882,0.7941176470588235,molVolume,nof_Chirals,Complexity,C_R2
6620,0.8529411764705882,0.7941176470588235,molVolume,nof_Chirals,Complexity,posCharge/Volume
6624,0.8529411764705882,0.7941176470588235,molVolume,nof_Chirals,Complexity,nof_PO4
6627,0.8529411764705882,0.7941176470588235,molVolume,nof_Chirals,Complexity,nof_NH2
6784,0.8529411764705882,0.7058823529411765,molVolume,nof_HBA,nof_HBD,molCharge_total
6921,0.8529411764705882,0.6764705882352942,molVolume,nof_HBA,C_R2,nof_COOH
7009,0.8823529411764706,0.7058823529411765,molVolume,nof_HBA,nof_NH2,nof_COOH
7058,0.8529411764705882,0.7941176470588235,molVolume,nof_HBD,Complexity,C_R1
7245,0.8529411764705882,0.7941176470588235,molVolume,molCharge_total,Complexity,nof_negCharge
7256,0.8529411764705882,0.7941176470588235,molVolume,molCharge_total,Complexity,nof_SO3H
7430,0.8529411764705882,0.7941176470588235,molVolume,nof_Rings,Complexity,nof_COOH
7613,0.8529411764705882,0.7941176470588235,molVolume,Complexity,nof_negCharge,nof_SO3H
7616,0.8823529411764706,0.7941176470588235,molVolume,Complexity,nof_negCharge,nof_COOH
7645,0.8529411764705882,0.7941176470588235,molVolume,Complexity,C_R2,nof_COOH
7721,0.8529411764705882,0.7941176470588235,molVolume,Complexity,nof_PO4,nof_COOH
7730,0.8529411764705882,0.7941176470588235,molVolume,Complexity,nof_SH,nof_COOH
12360,0.8529411764705882,0.7941176470588235,molLogS,molPSA,molCharge_total,negCharge/Volume
12362,0.8529411764705882,0.8529411764705882,molLogS,molPSA,molCharge_total,nof_Fragments
12372,0.8529411764705882,0.8235294117647058,molLogS,molPSA,nof_Rings,nof_negCharge
12430,0.8529411764705882,0.7941176470588235,molLogS,molPSA,nof_negCharge,negCharge/Volume
12437,0.8529411764705882,0.8235294117647058,molLogS,molPSA,nof_negCharge,nof_COOH
12455,0.8529411764705882,0.8235294117647058,molLogS,molPSA,C_R2,C_R1
12472,0.8529411764705882,0.7941176470588235,molLogS,molPSA,C_R1,negCharge/Volume
12517,0.8529411764705882,0.8235294117647058,molLogS,molPSA,negCharge/Volume,nof_PO4
12518,0.8529411764705882,0.8235294117647058,molLogS,molPSA,negCharge/Volume,nof_SO3H
13714,0.8529411764705882,0.7058823529411765,molLogS,nof_HBA,nof_HBD,molCharge_total
18738,0.8529411764705882,0.6764705882352942,molArea,nof_Atoms,nof_HBA,nof_negCharge
18744,0.8529411764705882,0.6470588235294118,molArea,nof_Atoms,nof_HBA,posCharge/Volume
18747,0.8529411764705882,0.6764705882352942,molArea,nof_Atoms,nof_HBA,nof_Fragments
18987,0.8529411764705882,0.7058823529411765,molArea,nof_Chirals,nof_HBA,molCharge_total
18991,0.8529411764705882,0.7058823529411765,molArea,nof_Chirals,nof_HBA,nof_negCharge
19010,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,nof_HBD,Complexity
19030,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,molCharge_total,Complexity
19068,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,Complexity,nof_posCharge
19069,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,Complexity,nof_negCharge
19071,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,Complexity,C_R2
19072,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,Complexity,C_R1
19075,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,Complexity,posCharge/Volume
19080,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,Complexity,nof_SO3H
19081,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,Complexity,nof_SH
19083,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,Complexity,nof_COOH
19084,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,Complexity,nof_OH
19085,0.8529411764705882,0.8529411764705882,molArea,nof_Chirals,Complexity,nof_acetyl
19272,0.8529411764705882,0.6764705882352942,molArea,nof_HBA,molCharge_total,nof_Fragments
19275,0.8529411764705882,0.7352941176470589,molArea,nof_HBA,molCharge_total,nof_SH
19314,0.8823529411764706,0.7941176470588235,molArea,nof_HBA,Complexity,nof_COOH
19340,0.8529411764705882,0.6764705882352942,molArea,nof_HBA,nof_negCharge,negCharge/Volume
19343,0.8529411764705882,0.7058823529411765,molArea,nof_HBA,nof_negCharge,nof_PO4
19347,0.8529411764705882,0.6470588235294118,molArea,nof_HBA,nof_negCharge,nof_COOH
19371,0.8529411764705882,0.7058823529411765,molArea,nof_HBA,C_R2,nof_Fragments
19384,0.8529411764705882,0.7352941176470589,molArea,nof_HBA,C_R1,nof_Fragments
19446,0.8529411764705882,0.7058823529411765,molArea,nof_HBA,nof_Fragments,nof_COOH
19447,0.8529411764705882,0.6470588235294118,molArea,nof_HBA,nof_Fragments,nof_OH
19510,0.8529411764705882,0.8529411764705882,molArea,nof_HBD,Complexity,nof_negCharge
19512,0.8529411764705882,0.8529411764705882,molArea,nof_HBD,Complexity,C_R2
19513,0.8529411764705882,0.8529411764705882,molArea,nof_HBD,Complexity,C_R1
19517,0.8529411764705882,0.8529411764705882,molArea,nof_HBD,Complexity,negCharge/Volume
19520,0.8529411764705882,0.8529411764705882,molArea,nof_HBD,Complexity,nof_PO4
19521,0.8529411764705882,0.8529411764705882,molArea,nof_HBD,Complexity,nof_SO3H
19522,0.8529411764705882,0.8529411764705882,molArea,nof_HBD,Complexity,nof_SH
19524,0.8529411764705882,0.8529411764705882,molArea,nof_HBD,Complexity,nof_COOH
19525,0.8529411764705882,0.8529411764705882,molArea,nof_HBD,Complexity,nof_OH
19526,0.8529411764705882,0.8529411764705882,molArea,nof_HBD,Complexity,nof_acetyl
19700,0.8529411764705882,0.8529411764705882,molArea,molCharge_total,Complexity,nof_negCharge
19703,0.8529411764705882,0.8529411764705882,molArea,molCharge_total,Complexity,C_R1
19714,0.8529411764705882,0.8529411764705882,molArea,molCharge_total,Complexity,nof_COOH
20047,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_posCharge,posCharge/Volume
20059,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_negCharge,C_R2
20062,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_negCharge,C_sp3
20063,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_negCharge,posCharge/Volume
20067,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_negCharge,nof_PO4
20068,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_negCharge,nof_SO3H
20069,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_negCharge,nof_SH
20071,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_negCharge,nof_COOH
20092,0.8529411764705882,0.8529411764705882,molArea,Complexity,C_R2,posCharge/Volume
20096,0.8529411764705882,0.8529411764705882,molArea,Complexity,C_R2,nof_PO4
20098,0.8529411764705882,0.8529411764705882,molArea,Complexity,C_R2,nof_SH
20100,0.8529411764705882,0.8529411764705882,molArea,Complexity,C_R2,nof_COOH
20101,0.8529411764705882,0.8529411764705882,molArea,Complexity,C_R2,nof_OH
20105,0.8529411764705882,0.8529411764705882,molArea,Complexity,C_R1,posCharge/Volume
20109,0.8529411764705882,0.8529411764705882,molArea,Complexity,C_R1,nof_PO4
20111,0.8529411764705882,0.8529411764705882,molArea,Complexity,C_R1,nof_SH
20140,0.8529411764705882,0.8529411764705882,molArea,Complexity,posCharge/Volume,nof_RotB
20142,0.8529411764705882,0.8529411764705882,molArea,Complexity,posCharge/Volume,nof_PO4
